eic_code,eic_display_name,eic_long_name,countries
10YRO-TEL------P,RO,Romania,['ro']
10YSE-1--------K,#N/A,#N/A,['se']
10YSI-ELES-----O,SI,Slovenia,['si']
10YSK-SEPS-----K,SK,Slovak Republic,['sk']
10YTR-TEIAS----W,#N/A,#N/A,['tr']
10YUA-WEPS-----0,UA-BEI,Ukrainian Area of Burshtyn island,['ua']
11Y0-0000-0265-K,GB1A-FR-AREA,UK optimization area GB1A,['gb']
17Y0000009369493,FR_UK_IFA2_V_BZN,IFA2_virtual_BZN,['gb']
46Y000000000007M,CUT_AREA_SE3LS,Cut area SE3LS,"['dk', 'no']"
50Y0JVU59B4JWQCU,NO_NO2NSL,Virtual Bidding Zone NO2NSL,['no']
BY,#N/A,#N/A,['by']
IS,#N/A,#N/A,['is']
RU,#N/A,#N/A,['ru']
